date,district,disease,cases,hospitalizations,tests_conducted,positive_rate,temperature,humidity,rainfall_mm,population,population_density
2025-11-08,Amritsar,COVID-19,14,3,38,36.84,22.9,47.8,0.0,2490000,1985.1
2025-11-09,Amritsar,COVID-19,12,1,26,46.15,23.8,55.8,0.0,2490000,2736.8
2025-11-10,Amritsar,COVID-19,11,2,52,21.15,25.2,58.8,0.0,2490000,1048.6
2025-11-11,Amritsar,COVID-19,11,2,37,29.73,24.8,54.7,0.2,2490000,1480.9
2025-11-12,Amritsar,COVID-19,14,2,44,31.82,29.0,49.0,0.0,2490000,2977.1
2025-11-13,Amritsar,COVID-19,15,1,70,21.43,24.9,57.2,0.0,2490000,1164.0
2025-11-14,Amritsar,COVID-19,16,3,49,32.65,23.1,47.3,0.0,2490000,1206.7
2025-11-15,Amritsar,COVID-19,14,3,29,48.28,27.2,56.8,0.0,2490000,1939.9
2025-11-16,Amritsar,COVID-19,16,1,43,37.21,28.3,45.0,0.0,2490000,1306.7
2025-11-17,Amritsar,COVID-19,18,3,51,35.29,25.2,52.6,0.0,2490000,1211.3
2025-11-18,Amritsar,COVID-19,15,3,34,44.12,25.0,47.2,0.0,2490000,2283.9
2025-11-19,Amritsar,COVID-19,14,2,67,20.9,24.9,53.5,0.0,2490000,832.0
2025-11-20,Amritsar,COVID-19,19,2,60,31.67,29.7,45.5,0.0,2490000,2574.7
2025-11-21,Amritsar,COVID-19,15,3,52,28.85,25.1,58.4,0.0,2490000,1209.5
2025-11-22,Amritsar,COVID-19,14,1,32,43.75,23.5,62.0,0.0,2490000,1054.0
2025-11-23,Amritsar,COVID-19,13,2,50,26.0,26.2,49.9,0.0,2490000,1122.8
2025-11-24,Amritsar,COVID-19,11,1,54,20.37,25.7,60.4,0.0,2490000,961.1
2025-11-25,Amritsar,COVID-19,17,2,54,31.48,28.1,50.5,0.0,2490000,1298.7
2025-11-26,Amritsar,COVID-19,18,3,42,42.86,28.9,57.9,0.0,2490000,1218.4
2025-11-27,Amritsar,COVID-19,18,1,36,50.0,27.4,48.4,0.0,2490000,2933.7
2025-11-28,Amritsar,COVID-19,13,2,52,25.0,26.9,53.0,0.0,2490000,1715.6
2025-11-29,Amritsar,COVID-19,19,4,87,21.84,32.0,59.4,0.0,2490000,1200.8
2025-11-30,Amritsar,COVID-19,16,2,54,29.63,32.5,52.5,0.2,2490000,2280.9
2025-12-01,Amritsar,COVID-19,13,3,64,20.31,26.5,55.7,0.0,2490000,2365.7
2025-12-02,Amritsar,COVID-19,12,2,31,38.71,28.1,55.9,0.0,2490000,1010.3
2025-12-03,Amritsar,COVID-19,21,4,93,22.58,30.2,57.1,0.0,2490000,1730.3
2025-12-04,Amritsar,COVID-19,16,3,76,21.05,30.3,57.7,1.4,2490000,1262.0
2025-12-05,Amritsar,COVID-19,17,2,34,50.0,29.9,54.6,0.0,2490000,1182.3
2025-12-06,Amritsar,COVID-19,16,3,68,23.53,30.3,63.1,0.0,2490000,1220.8
2025-12-07,Amritsar,COVID-19,15,3,70,21.43,30.0,54.5,1.0,2490000,2990.5
2025-12-08,Amritsar,COVID-19,20,4,63,31.75,29.1,61.5,1.8,2490000,1627.2
2025-12-09,Amritsar,COVID-19,14,3,48,29.17,32.3,62.5,3.3,2490000,1950.3
2025-12-10,Amritsar,COVID-19,14,2,44,31.82,29.1,62.3,0.0,2490000,1090.1
2025-12-11,Amritsar,COVID-19,16,3,65,24.62,26.1,61.0,0.0,2490000,2332.4
2025-12-12,Amritsar,COVID-19,19,4,65,29.23,28.9,70.1,0.9,2490000,1426.3
2025-12-13,Amritsar,COVID-19,18,2,41,43.9,28.1,64.0,0.0,2490000,842.7
2025-12-14,Amritsar,COVID-19,17,3,62,27.42,32.2,60.1,0.0,2490000,2565.8
2025-12-15,Amritsar,COVID-19,16,2,36,44.44,30.2,56.9,0.0,2490000,1334.7
2025-12-16,Amritsar,COVID-19,15,2,62,24.19,32.2,60.7,0.0,2490000,834.1
2025-12-17,Amritsar,COVID-19,20,4,70,28.57,33.0,65.7,0.0,2490000,886.0
2025-12-18,Amritsar,COVID-19,23,5,52,44.23,29.4,60.4,0.0,2490000,1821.5
2025-12-19,Amritsar,COVID-19,13,2,32,40.62,30.7,64.9,0.0,2490000,924.5
2025-12-20,Amritsar,COVID-19,17,2,34,50.0,33.3,63.6,0.0,2490000,1263.5
2025-12-21,Amritsar,COVID-19,19,2,82,23.17,31.3,60.1,0.0,2490000,863.7
2025-12-22,Amritsar,COVID-19,19,3,42,45.24,31.1,68.5,0.0,2490000,1867.8
2025-12-23,Amritsar,COVID-19,20,4,66,30.3,32.3,72.8,0.0,2490000,842.8
2025-12-24,Amritsar,COVID-19,14,1,63,22.22,31.9,66.7,0.4,2490000,2103.0
2025-12-25,Amritsar,COVID-19,18,4,59,30.51,31.9,62.3,2.2,2490000,2668.9
2025-12-26,Amritsar,COVID-19,16,2,48,33.33,33.2,74.0,0.0,2490000,1010.0
2025-12-27,Amritsar,COVID-19,19,4,69,27.54,34.6,67.0,0.0,2490000,1984.0
2025-12-28,Amritsar,COVID-19,21,4,48,43.75,29.6,73.2,0.0,2490000,1489.9
2025-12-29,Amritsar,COVID-19,14,2,59,23.73,31.7,63.3,2.8,2490000,1295.7
2025-12-30,Amritsar,COVID-19,15,3,65,23.08,32.3,74.0,0.0,2490000,1201.1
2025-12-31,Amritsar,COVID-19,16,3,73,21.92,34.1,68.7,0.0,2490000,1648.2
2026-01-01,Amritsar,COVID-19,17,2,61,27.87,28.2,62.9,2.4,2490000,2920.1
2026-01-02,Amritsar,COVID-19,19,2,42,45.24,34.0,75.7,0.0,2490000,1734.5
2026-01-03,Amritsar,COVID-19,24,3,65,36.92,35.3,78.6,2.5,2490000,2260.5
2026-01-04,Amritsar,COVID-19,17,3,71,23.94,34.0,74.2,0.0,2490000,1106.3
2026-01-05,Amritsar,COVID-19,17,3,49,34.69,30.4,66.3,2.3,2490000,1432.3
2026-01-06,Amritsar,COVID-19,21,4,104,20.19,33.5,69.5,0.0,2490000,2570.8
2026-01-07,Amritsar,COVID-19,20,3,67,29.85,36.4,69.2,2.0,2490000,1180.7
2026-01-08,Amritsar,COVID-19,16,2,45,35.56,33.3,71.9,6.9,2490000,2371.8
2026-01-09,Amritsar,COVID-19,22,2,100,22.0,33.1,66.5,1.9,2490000,1172.9
2026-01-10,Amritsar,COVID-19,15,2,31,48.39,34.0,72.0,0.0,2490000,2989.9
2026-01-11,Amritsar,COVID-19,11,1,44,25.0,33.2,68.2,0.0,2490000,1179.3
2026-01-12,Amritsar,COVID-19,16,3,58,27.59,33.6,67.7,0.0,2490000,1902.8
2026-01-13,Amritsar,COVID-19,20,3,61,32.79,36.4,63.7,1.7,2490000,1553.2
2026-01-14,Amritsar,COVID-19,26,3,73,35.62,33.8,72.2,0.0,2490000,902.6
2026-01-15,Amritsar,COVID-19,18,3,69,26.09,29.8,78.5,1.3,2490000,1295.1
2026-01-16,Amritsar,COVID-19,21,3,92,22.83,38.2,65.4,0.0,2490000,2154.8
2026-01-17,Amritsar,COVID-19,17,2,72,23.61,36.4,66.8,3.9,2490000,2620.0
2026-01-18,Amritsar,COVID-19,15,2,74,20.27,30.7,78.0,2.7,2490000,840.3
2026-01-19,Amritsar,COVID-19,18,2,53,33.96,32.7,83.4,7.0,2490000,2578.7
2026-01-20,Amritsar,COVID-19,18,2,65,27.69,37.5,73.1,0.0,2490000,1782.7
2026-01-21,Amritsar,COVID-19,18,3,88,20.45,35.1,74.1,0.5,2490000,996.8
2026-01-22,Amritsar,COVID-19,18,4,72,25.0,34.0,77.5,0.8,2490000,990.9
2026-01-23,Amritsar,COVID-19,23,3,84,27.38,35.0,81.8,2.6,2490000,1261.6
2026-01-24,Amritsar,COVID-19,18,2,38,47.37,37.6,72.0,2.0,2490000,1557.1
2026-01-25,Amritsar,COVID-19,20,2,63,31.75,32.9,76.1,2.1,2490000,1024.8
2026-01-26,Amritsar,COVID-19,12,2,31,38.71,38.1,79.8,0.8,2490000,1448.3
2026-01-27,Amritsar,COVID-19,22,2,44,50.0,36.8,71.3,0.0,2490000,1430.7
2026-01-28,Amritsar,COVID-19,18,4,62,29.03,35.2,75.2,0.0,2490000,1175.5
2026-01-29,Amritsar,COVID-19,21,3,81,25.93,34.4,71.6,2.2,2490000,888.4
2026-01-30,Amritsar,COVID-19,23,4,70,32.86,35.0,66.9,4.3,2490000,1670.5
2026-01-31,Amritsar,COVID-19,18,1,88,20.45,32.8,79.4,0.0,2490000,1423.1
2026-02-01,Amritsar,COVID-19,21,2,99,21.21,32.3,78.2,4.0,2490000,2027.4
2026-02-02,Amritsar,COVID-19,18,2,63,28.57,35.2,76.5,0.0,2490000,978.3
2026-02-03,Amritsar,COVID-19,15,2,51,29.41,35.8,72.0,0.0,2490000,962.7
2026-02-04,Amritsar,COVID-19,20,2,59,33.9,35.8,74.3,5.1,2490000,1256.5
2026-02-05,Amritsar,COVID-19,20,3,86,23.26,36.2,74.2,0.8,2490000,1614.7
2026-02-06,Amritsar,COVID-19,20,4,61,32.79,34.0,77.9,0.0,2490000,1754.2
2026-02-07,Amritsar,COVID-19,18,3,39,46.15,31.7,70.8,4.0,2490000,1049.6
2026-02-08,Amritsar,COVID-19,14,2,48,29.17,36.9,77.8,4.7,2490000,1380.7
2026-02-09,Amritsar,COVID-19,35,4,141,24.82,36.3,73.9,4.4,2490000,867.7
2026-02-10,Amritsar,COVID-19,47,8,116,40.52,36.7,79.7,1.4,2490000,1258.7
2026-02-11,Amritsar,COVID-19,51,7,254,20.08,36.5,73.8,0.0,2490000,2599.8
2026-02-12,Amritsar,COVID-19,44,9,136,32.35,36.6,79.8,3.4,2490000,843.7
2026-02-13,Amritsar,COVID-19,55,12,185,29.73,32.7,77.2,8.9,2490000,1182.4
2026-02-14,Amritsar,COVID-19,76,10,369,20.6,36.6,71.9,3.5,2490000,1336.3
2026-02-15,Amritsar,COVID-19,69,13,327,21.1,32.9,75.9,5.1,2490000,1900.3
2026-02-16,Amritsar,COVID-19,98,22,425,23.06,35.1,78.7,0.0,2490000,2985.9
2026-02-17,Amritsar,COVID-19,85,14,278,30.58,33.7,83.3,2.0,2490000,1734.5
2026-02-18,Amritsar,COVID-19,90,11,216,41.67,35.9,75.6,0.3,2490000,1237.0
2026-02-19,Amritsar,COVID-19,128,19,517,24.76,37.9,83.0,0.0,2490000,1587.2
2026-02-20,Amritsar,COVID-19,115,25,524,21.95,33.7,72.9,2.1,2490000,1940.1
2026-02-21,Amritsar,COVID-19,102,11,273,37.36,34.9,78.5,2.0,2490000,978.6
2026-02-22,Amritsar,COVID-19,125,13,622,20.1,33.5,82.3,1.0,2490000,1110.5
2026-02-23,Amritsar,COVID-19,146,14,373,39.14,37.7,80.6,4.8,2490000,1111.2
2026-02-24,Amritsar,COVID-19,142,18,652,21.78,34.8,79.3,4.6,2490000,1652.3
2026-02-25,Amritsar,COVID-19,88,21,288,30.56,37.5,80.0,0.2,2490000,1169.6
2026-02-26,Amritsar,COVID-19,135,13,270,50.0,32.3,88.2,3.9,2490000,1155.2
2026-02-27,Amritsar,COVID-19,140,20,342,40.94,33.4,77.1,2.5,2490000,1199.2
2026-02-28,Amritsar,COVID-19,128,14,419,30.55,36.9,84.3,2.8,2490000,864.3
2026-03-01,Amritsar,COVID-19,110,22,432,25.46,32.9,75.7,4.6,2490000,924.1
2026-03-02,Amritsar,COVID-19,96,18,344,27.91,32.0,79.6,6.9,2490000,1081.4
2026-03-03,Amritsar,COVID-19,118,16,476,24.79,35.9,81.4,8.3,2490000,894.1
2026-03-04,Amritsar,COVID-19,103,19,246,41.87,36.7,77.2,3.5,2490000,850.4
2026-03-05,Amritsar,COVID-19,79,11,166,47.59,33.9,80.2,4.9,2490000,1250.2
2026-03-06,Amritsar,COVID-19,90,11,251,35.86,32.3,78.8,6.3,2490000,1978.1
2026-03-07,Amritsar,COVID-19,92,15,204,45.1,35.1,81.8,0.4,2490000,2864.7
2026-03-08,Amritsar,COVID-19,84,11,287,29.27,32.7,89.0,10.4,2490000,1356.5
2026-03-09,Amritsar,COVID-19,49,11,225,21.78,36.1,78.0,10.9,2490000,902.5
2026-03-10,Amritsar,COVID-19,56,6,134,41.79,31.9,75.2,5.1,2490000,2179.5
2026-03-11,Amritsar,COVID-19,38,5,116,32.76,36.3,83.8,2.5,2490000,885.4
2026-03-12,Amritsar,COVID-19,39,4,140,27.86,36.6,82.5,3.0,2490000,1045.6
2026-03-13,Amritsar,COVID-19,42,8,134,31.34,34.8,75.5,3.4,2490000,1086.2
2026-03-14,Amritsar,COVID-19,17,3,80,21.25,31.2,71.1,3.2,2490000,1492.7
2026-03-15,Amritsar,COVID-19,17,2,71,23.94,32.0,75.7,0.0,2490000,3046.8
2026-03-16,Amritsar,COVID-19,14,2,55,25.45,35.9,80.8,6.6,2490000,1398.2
2026-03-17,Amritsar,COVID-19,21,2,46,45.65,35.0,77.5,2.3,2490000,2471.7
2026-03-18,Amritsar,COVID-19,16,2,68,23.53,31.7,80.3,8.3,2490000,1020.5
2026-03-19,Amritsar,COVID-19,22,2,78,28.21,34.4,75.1,2.9,2490000,880.8
2026-03-20,Amritsar,COVID-19,23,4,96,23.96,30.5,82.0,2.6,2490000,1288.2
2026-03-21,Amritsar,COVID-19,19,4,91,20.88,33.7,83.8,1.6,2490000,2260.9
2026-03-22,Amritsar,COVID-19,20,2,92,21.74,29.0,79.1,7.3,2490000,2078.2
2026-03-23,Amritsar,COVID-19,17,2,67,25.37,31.9,86.5,2.0,2490000,1238.2
2026-03-24,Amritsar,COVID-19,18,3,40,45.0,32.4,78.3,4.1,2490000,893.0
2026-03-25,Amritsar,COVID-19,21,3,55,38.18,32.6,82.1,5.6,2490000,1638.3
2026-03-26,Amritsar,COVID-19,13,1,48,27.08,29.7,81.3,4.2,2490000,879.6
2026-03-27,Amritsar,COVID-19,25,3,117,21.37,33.4,85.0,3.7,2490000,1848.9
2026-03-28,Amritsar,COVID-19,14,1,33,42.42,32.1,77.2,3.6,2490000,2108.3
2026-03-29,Amritsar,COVID-19,20,4,52,38.46,31.9,76.6,3.7,2490000,1642.6
2026-03-30,Amritsar,COVID-19,14,2,50,28.0,32.1,73.5,10.5,2490000,1141.8
2026-03-31,Amritsar,COVID-19,15,2,38,39.47,30.9,80.5,9.0,2490000,1529.9
2026-04-01,Amritsar,COVID-19,22,4,103,21.36,26.2,73.6,4.6,2490000,2264.5
2026-04-02,Amritsar,COVID-19,18,2,51,35.29,31.6,70.2,4.9,2490000,2103.8
2026-04-03,Amritsar,COVID-19,21,4,69,30.43,32.0,77.7,4.7,2490000,1227.1
2026-04-04,Amritsar,COVID-19,19,2,65,29.23,31.0,76.4,3.4,2490000,1178.6
2026-04-05,Amritsar,COVID-19,17,1,39,43.59,32.0,69.9,4.2,2490000,979.2
2026-04-06,Amritsar,COVID-19,17,3,41,41.46,30.3,80.3,1.5,2490000,1161.0
2026-04-07,Amritsar,COVID-19,16,2,52,30.77,28.6,76.2,1.8,2490000,1704.0
2026-04-08,Amritsar,COVID-19,16,2,72,22.22,31.4,78.6,1.2,2490000,1210.1
2026-04-09,Amritsar,COVID-19,16,3,74,21.62,27.7,76.5,0.0,2490000,2529.0
2026-04-10,Amritsar,COVID-19,16,2,48,33.33,26.8,77.6,7.9,2490000,1980.3
2026-04-11,Amritsar,COVID-19,16,2,78,20.51,30.7,83.0,0.5,2490000,1280.7
2026-04-12,Amritsar,COVID-19,20,2,75,26.67,30.6,64.4,3.0,2490000,1100.1
2026-04-13,Amritsar,COVID-19,16,3,52,30.77,30.7,78.3,3.0,2490000,1146.8
2026-04-14,Amritsar,COVID-19,14,3,51,27.45,30.4,86.3,6.9,2490000,1328.1
2026-04-15,Amritsar,COVID-19,22,2,108,20.37,26.5,70.7,5.7,2490000,1532.2
2026-04-16,Amritsar,COVID-19,21,4,91,23.08,28.9,71.0,9.3,2490000,902.8
2026-04-17,Amritsar,COVID-19,19,3,72,26.39,29.8,76.0,4.9,2490000,2697.4
2026-04-18,Amritsar,COVID-19,13,3,42,30.95,30.8,75.6,3.8,2490000,1567.6
2026-04-19,Amritsar,COVID-19,17,2,75,22.67,30.2,61.6,8.5,2490000,1261.3
2026-04-20,Amritsar,COVID-19,20,2,50,40.0,30.8,68.7,6.3,2490000,1744.1
2026-04-21,Amritsar,COVID-19,13,2,34,38.24,30.0,68.8,2.2,2490000,906.8
2026-04-22,Amritsar,COVID-19,18,2,58,31.03,27.7,70.4,5.9,2490000,1057.4
2026-04-23,Amritsar,COVID-19,14,2,37,37.84,26.8,76.9,9.7,2490000,1305.6
2026-04-24,Amritsar,COVID-19,17,3,38,44.74,27.0,74.9,2.4,2490000,881.1
2026-04-25,Amritsar,COVID-19,16,3,56,28.57,28.8,72.6,3.5,2490000,2580.6
2026-04-26,Amritsar,COVID-19,16,3,49,32.65,26.8,69.3,5.2,2490000,2781.9
2026-04-27,Amritsar,COVID-19,15,2,58,25.86,26.8,75.9,3.6,2490000,1026.1
2026-04-28,Amritsar,COVID-19,18,4,67,26.87,29.0,75.1,0.0,2490000,919.8
2026-04-29,Amritsar,COVID-19,15,1,39,38.46,27.0,74.4,4.4,2490000,2059.2
2026-04-30,Amritsar,COVID-19,11,1,23,47.83,24.9,67.2,1.5,2490000,1090.8
2026-05-01,Amritsar,COVID-19,16,2,62,25.81,21.7,80.2,7.9,2490000,859.3
2026-05-02,Amritsar,COVID-19,16,2,79,20.25,25.8,77.9,1.4,2490000,1283.3
2026-05-03,Amritsar,COVID-19,14,1,29,48.28,25.8,75.3,4.9,2490000,955.5
2026-05-04,Amritsar,COVID-19,13,3,40,32.5,27.7,68.2,1.8,2490000,1172.9
2026-05-05,Amritsar,COVID-19,16,2,73,21.92,28.0,81.5,5.2,2490000,2077.9
2026-05-06,Amritsar,COVID-19,16,3,72,22.22,26.9,71.2,7.9,2490000,865.2
2025-11-08,Amritsar,Chikungunya,19,2,58,32.76,25.4,49.8,0.0,2490000,2121.6
2025-11-09,Amritsar,Chikungunya,15,2,39,38.46,24.9,48.4,0.0,2490000,994.7
2025-11-10,Amritsar,Chikungunya,15,3,37,40.54,27.1,57.7,0.0,2490000,1929.3
2025-11-11,Amritsar,Chikungunya,12,2,35,34.29,23.7,51.3,1.8,2490000,1249.1
2025-11-12,Amritsar,Chikungunya,14,1,28,50.0,25.0,52.0,0.0,2490000,2115.0
2025-11-13,Amritsar,Chikungunya,13,1,49,26.53,29.4,54.5,0.0,2490000,1459.3
2025-11-14,Amritsar,Chikungunya,15,3,57,26.32,24.5,50.9,0.0,2490000,1048.5
2025-11-15,Amritsar,Chikungunya,14,1,35,40.0,24.6,56.7,0.0,2490000,2318.7
2025-11-16,Amritsar,Chikungunya,16,2,34,47.06,31.1,57.4,0.0,2490000,1490.6
2025-11-17,Amritsar,Chikungunya,21,3,66,31.82,27.1,46.3,0.0,2490000,939.0
2025-11-18,Amritsar,Chikungunya,20,2,68,29.41,28.1,49.0,0.0,2490000,2477.4
2025-11-19,Amritsar,Chikungunya,18,4,87,20.69,26.9,46.7,0.0,2490000,855.8
2025-11-20,Amritsar,Chikungunya,15,2,68,22.06,26.2,59.1,0.0,2490000,832.4
2025-11-21,Amritsar,Chikungunya,18,4,63,28.57,22.9,54.8,5.1,2490000,884.2
2025-11-22,Amritsar,Chikungunya,17,3,42,40.48,29.5,56.5,0.0,2490000,2045.2
2025-11-23,Amritsar,Chikungunya,18,2,59,30.51,23.7,53.0,0.0,2490000,841.2
2025-11-24,Amritsar,Chikungunya,16,2,66,24.24,28.2,56.1,0.0,2490000,2392.5
2025-11-25,Amritsar,Chikungunya,19,3,57,33.33,30.4,54.3,0.0,2490000,2121.8
2025-11-26,Amritsar,Chikungunya,21,3,60,35.0,27.0,69.1,0.0,2490000,1968.0
2025-11-27,Amritsar,Chikungunya,17,2,72,23.61,27.3,54.9,0.0,2490000,1642.4
2025-11-28,Amritsar,Chikungunya,17,1,71,23.94,30.8,61.3,0.0,2490000,855.9
2025-11-29,Amritsar,Chikungunya,16,3,66,24.24,28.2,57.9,0.0,2490000,1662.7
2025-11-30,Amritsar,Chikungunya,17,3,37,45.95,32.5,59.2,0.3,2490000,1149.3
2025-12-01,Amritsar,Chikungunya,15,2,53,28.3,29.5,49.9,0.0,2490000,2368.4
2025-12-02,Amritsar,Chikungunya,17,3,44,38.64,26.8,54.5,0.0,2490000,1257.5
2025-12-03,Amritsar,Chikungunya,23,5,110,20.91,29.9,63.8,0.0,2490000,1291.5
2025-12-04,Amritsar,Chikungunya,15,2,34,44.12,28.5,49.2,0.0,2490000,2016.5
2025-12-05,Amritsar,Chikungunya,19,2,70,27.14,31.5,58.7,2.8,2490000,1395.6
2025-12-06,Amritsar,Chikungunya,18,2,87,20.69,28.8,60.0,0.0,2490000,2071.7
2025-12-07,Amritsar,Chikungunya,21,4,95,22.11,30.0,49.8,0.0,2490000,1680.1
2025-12-08,Amritsar,Chikungunya,15,2,49,30.61,26.7,53.9,0.8,2490000,1252.6
2025-12-09,Amritsar,Chikungunya,18,2,82,21.95,29.5,53.6,0.4,2490000,1123.0
2025-12-10,Amritsar,Chikungunya,14,2,43,32.56,29.5,64.3,0.0,2490000,1659.8
2025-12-11,Amritsar,Chikungunya,19,3,86,22.09,28.2,63.0,0.0,2490000,1853.1
2025-12-12,Amritsar,Chikungunya,14,3,68,20.59,30.6,60.6,4.7,2490000,1134.0
2025-12-13,Amritsar,Chikungunya,16,2,53,30.19,30.3,62.4,0.0,2490000,1683.6
2025-12-14,Amritsar,Chikungunya,20,2,59,33.9,28.4,64.1,0.0,2490000,1902.9
